iter	Logloss
0	0.6610927874
1	0.6355793249
2	0.6129076729
3	0.5979904988
4	0.5855212675
5	0.5747103313
6	0.5656258659
7	0.5583816822
8	0.553367093
9	0.5481081051
10	0.5439827886
11	0.5407814903
12	0.5382234745
13	0.5353672556
14	0.5338501427
15	0.5323559133
16	0.5311032885
17	0.5299259117
18	0.5286730272
19	0.5276931328
20	0.5269273851
21	0.526580619
22	0.5251104905
23	0.5243105323
24	0.5242337938
25	0.5240976589
26	0.5236363453
27	0.5236068135
28	0.5224774047
29	0.5221704081
30	0.5213349041
31	0.5210191067
32	0.5201166676
33	0.5199215676
34	0.5192882552
35	0.5184540454
36	0.5180632068
37	0.5176661084
38	0.5173469261
39	0.5170887013
40	0.5163843703
41	0.5159195539
42	0.5152138941
43	0.5149262486
44	0.5144496831
45	0.5144200377
46	0.514384691
47	0.5137181785
48	0.5134253259
49	0.5130697233
50	0.5127810534
51	0.5122924975
52	0.511042424
53	0.5105925704
54	0.5099319443
55	0.5097527468
56	0.5094516337
57	0.5089292067
58	0.5086069847
59	0.5084664854
60	0.5082254092
61	0.5077945396
62	0.5075662936
63	0.5072313391
64	0.506851527
65	0.5064474635
66	0.505765426
67	0.5052895256
68	0.504846888
69	0.5044330574
70	0.5041313962
71	0.5038696762
72	0.503280125
73	0.5029378533
74	0.5027444879
75	0.5025870317
76	0.5023171279
77	0.502051499
78	0.5015244951
79	0.5010131952
80	0.5009845224
81	0.5005868118
82	0.5004103581
83	0.4999697012
84	0.4994680549
85	0.4991285707
86	0.4985652712
87	0.4977016241
88	0.4972978327
89	0.4970825853
90	0.4967766703
91	0.4962792271
92	0.4959959932
93	0.4957813045
94	0.4950309433
95	0.494792495
96	0.4943457022
97	0.4935860646
98	0.4929607891
99	0.4927222341
100	0.4925080262
101	0.491913392
102	0.4916328897
103	0.49111494
104	0.4904309153
105	0.4898058397
106	0.4896208219
107	0.4890926728
108	0.4882826918
109	0.4874917617
110	0.4872881634
111	0.4867157075
112	0.4862593338
113	0.4854526106
114	0.4849972511
115	0.4847963692
116	0.4843447192
117	0.4836851016
118	0.4826067537
119	0.4822913729
120	0.4816744735
121	0.4812669119
122	0.4808358528
123	0.4803042018
124	0.479997789
125	0.4794714923
126	0.4786690638
127	0.4784585189
128	0.4776088918
129	0.4772652301
130	0.4770012859
131	0.4759249536
132	0.4756338074
133	0.475247051
134	0.4748723892
135	0.474341039
136	0.4739532946
137	0.473699926
138	0.4735055413
139	0.472836929
140	0.4724865724
141	0.4720706817
142	0.4717122794
143	0.4714115656
144	0.4711312691
145	0.4706495167
146	0.4700216279
147	0.4692850074
148	0.4688007725
149	0.4681808965
150	0.4679297852
151	0.4679153178
152	0.4669724654
153	0.4662192383
154	0.4655113992
155	0.4652020895
156	0.4647049812
157	0.4641190228
158	0.4636260995
159	0.4630964982
160	0.4624999502
161	0.4622523886
162	0.4620607502
163	0.4614716167
164	0.4610914361
165	0.4605313627
166	0.4600246909
167	0.4593735262
168	0.459033077
169	0.4588433888
170	0.4583491291
171	0.4577873983
172	0.4575339944
173	0.4565737599
174	0.4561918449
175	0.4556466091
176	0.4550331324
177	0.454482759
178	0.4541506682
179	0.4535635758
180	0.4532348409
181	0.4530015558
182	0.4522045764
183	0.4517580927
184	0.4513242965
185	0.4509013348
186	0.4505984152
187	0.4497844249
188	0.4495176014
189	0.4492129035
190	0.4485137547
191	0.448056925
192	0.4477120524
193	0.4474474502
194	0.447104218
195	0.4463687329
196	0.4456408979
197	0.4453804745
198	0.4449129145
199	0.4444226135
200	0.4435986203
201	0.4431890347
202	0.4427744531
203	0.4420915984
204	0.4415298316
205	0.4410786984
206	0.4405055628
207	0.4401413495
208	0.4395818453
209	0.4390977002
210	0.4387465372
211	0.438188659
212	0.4378205076
213	0.4376821377
214	0.4374832324
215	0.4370505764
216	0.4366960927
217	0.4360878405
218	0.4356380122
219	0.4355070735
220	0.4352831238
221	0.4350007398
222	0.4345146062
223	0.4341058268
224	0.4336015801
225	0.4332421745
226	0.4329568529
227	0.4324063927
228	0.4320580506
229	0.4314512062
230	0.4308284188
231	0.4303753607
232	0.4298707143
233	0.4291298109
234	0.4286267728
235	0.4282847644
236	0.4281212941
237	0.4277701708
238	0.4273104259
239	0.4265818375
240	0.426185851
241	0.4260785019
242	0.4256589539
243	0.4251764912
244	0.4249660495
245	0.4247159689
246	0.4241815719
247	0.4240551968
248	0.4233441832
249	0.4229391657
250	0.4227422434
251	0.422667254
252	0.4224437724
253	0.4222449401
254	0.4216355926
255	0.4212355558
256	0.4210872395
257	0.4208129246
258	0.4204143006
259	0.4200002235
260	0.4193997611
261	0.4191148778
262	0.418865713
263	0.4183491075
264	0.4181031375
265	0.41784064
266	0.4176450122
267	0.4171502487
268	0.4169470425
269	0.4164409437
270	0.4157196238
271	0.4153781235
272	0.4152828606
273	0.4151183107
274	0.4147004407
275	0.4140062791
276	0.4135037818
277	0.4130440183
278	0.4128825944
279	0.4124969847
280	0.4119550799
281	0.4117249776
282	0.4115466616
283	0.4110457735
284	0.4105782442
285	0.410277649
286	0.410081675
287	0.4095757121
288	0.408923952
289	0.4088659853
290	0.4084470441
291	0.4080227402
292	0.4077463645
293	0.407479945
294	0.4068648665
295	0.4063507273
296	0.4059522828
297	0.4053116113
298	0.4052072542
299	0.4049186468
